 Total battles: 115378
 Avg. weight/team: 0.011
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 56.34697% | 54638  | 23.678% | 46335  | 26.573% | 
 | 2    | Ferrothorn         | 36.79251% | 46074  | 19.967% | 39258  | 22.514% | 
 | 3    | Dragonite          | 21.67199% | 19740  |  8.554% | 14018  |  8.039% | 
 | 4    | Garchomp           | 18.83447% | 36680  | 15.896% | 27593  | 15.825% | 
 | 5    | Victini            | 18.48549% | 9334   |  4.045% | 7193   |  4.125% | 
 | 6    | Dragapult          | 17.69620% | 48540  | 21.035% | 35203  | 20.189% | 
 | 7    | Suicune            | 16.81548% | 2063   |  0.894% | 1705   |  0.978% | 
 | 8    | Alakazam           | 16.73821% | 4871   |  2.111% | 3403   |  1.952% | 
 | 9    | Heatran            | 15.98261% | 28482  | 12.343% | 22871  | 13.116% | 
 | 10   | Slowbro            | 14.68661% | 14036  |  6.083% | 11075  |  6.351% | 
 | 11   | Weavile            | 13.92323% | 22194  |  9.618% | 16478  |  9.450% | 
 | 12   | Tornadus-Therian   | 13.90125% | 14836  |  6.429% | 11698  |  6.709% | 
 | 13   | Clefable           | 13.82963% | 23678  | 10.261% | 17701  | 10.151% | 
 | 14   | Ninetales-Alola    | 13.73411% | 10907  |  4.727% | 9161   |  5.254% | 
 | 15   | Corviknight        | 13.27942% | 25579  | 11.085% | 19686  | 11.290% | 
 | 16   | Kartana            | 12.52175% | 28717  | 12.445% | 21026  | 12.058% | 
 | 17   | Zapdos             | 12.48668% | 24224  | 10.498% | 19221  | 11.023% | 
 | 18   | Toxapex            | 12.12567% | 27555  | 11.941% | 21799  | 12.502% | 
 | 19   | Melmetal           | 10.80071% | 29809  | 12.918% | 23027  | 13.206% | 
 | 20   | Urshifu-Rapid-Strike | 10.36425% | 27381  | 11.866% | 20956  | 12.018% | 
 | 21   | Scizor             | 10.23682% | 8724   |  3.781% | 6333   |  3.632% | 
 | 22   | Azumarill          |  9.62321% | 5961   |  2.583% | 4565   |  2.618% | 
 | 23   | Latias             |  9.48084% | 2329   |  1.009% | 1794   |  1.029% | 
 | 24   | Tapu Lele          |  9.29519% | 16753  |  7.260% | 12467  |  7.150% | 
 | 25   | Arctozolt          |  9.11754% | 4227   |  1.832% | 3262   |  1.871% | 
 | 26   | Rillaboom          |  8.89754% | 25645  | 11.113% | 18795  | 10.779% | 
 | 27   | Blacephalon        |  8.43289% | 14165  |  6.139% | 10290  |  5.901% | 
 | 28   | Blissey            |  8.26358% | 16305  |  7.066% | 12091  |  6.934% | 
 | 29   | Tapu Koko          |  7.29515% | 14823  |  6.424% | 11603  |  6.654% | 
 | 30   | Buzzwole           |  6.54053% | 11615  |  5.033% | 8884   |  5.095% | 
 | 31   | Tyranitar          |  6.31123% | 19398  |  8.406% | 15363  |  8.811% | 
 | 32   | Hatterene          |  6.16712% | 10969  |  4.754% | 8753   |  5.020% | 
 | 33   | Slowking-Galar     |  6.06063% | 10225  |  4.431% | 7971   |  4.571% | 
 | 34   | Crawdaunt          |  5.42173% | 7473   |  3.238% | 5478   |  3.142% | 
 | 35   | Marowak-Alola      |  5.36942% | 6837   |  2.963% | 5310   |  3.045% | 
 | 36   | Volcarona          |  5.11563% | 20472  |  8.872% | 14430  |  8.276% | 
 | 37   | Tapu Fini          |  4.90670% | 11199  |  4.853% | 8848   |  5.074% | 
